nombre,modelo,MR0,MP0,diff0,MR1,MP1,diff1,MR2,MP2,diff2
validacionmodelo_Estimación preventiva para riesgos crediticios adicional1_True,MLP,432,27040.119935426625,-26608.119935426625,-8951,6936.242369934061,-15887.242369934062,-4174,14455.720122495964,-18629.720122495964
validacionmodelo_Fondo de reserva_True,LassoPSO,127433107,127886491.81689206,-453384.81689205766,127433107,128309788.66038132,-876681.660381332,127433107,128708812.88409054,-1275705.8840905428
validacionmodelo_Gastos de administración y promoción_True,RFPSO,3607147,31700416.399999995,-28093269.399999995,8387541,19951787.733333327,-11564246.733333329,12955309,14423803.133333333,-1468494.133333331
validacionmodelo_Incremento por actualización de estimación preventiva para riesgos crediticios_True,DT,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Incremento por actualización de gastos por intereses_True,DT,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Incremento por actualización de ingresos por intereses_True,DT,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Intereses a cargo asociados con cuentas de captación sin movimiento_True,DT,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Intereses de disponibilidades_True,DT,0,19.46315789473685,-19.46315789473685,0,19.46315789473685,-19.46315789473685,0,19.46315789473685,-19.46315789473685
validacionmodelo_Intereses por depósitos a plazo_True,DT,760149,3248249.75,-2488100.75,1506776,3248249.75,-1741473.75,2369964,3248249.75,-878285.75
validacionmodelo_Intereses por depósitos de exigibilidad inmediata_True,DTPSO,835175,758998.0,76177.0,1591510,1449406.0,142104.0,2434591,2214245.0,220346.0
validacionmodelo_Intereses por préstamos bancarios y de otros organismos_True,XGBoost,0,9120.925324440002,-9120.925324440002,0,6465.505578041077,-6465.505578041077,0,6465.505578041077,-6465.505578041077
validacionmodelo_Intereses y rendimientos a favor en operaciones de reporto_True,DT,0,395.2448979591837,-395.2448979591837,0,395.2448979591837,-395.2448979591837,0,395.2448979591837,-395.2448979591837
validacionmodelo_Intereses y rendimientos a favor provenientes de inversiones en valores_True,LassoPSO,2430998,19318402.208721276,-16887404.208721273,4495126,14540953.974662066,-10045827.974662066,6754384,10987710.83963682,-4233326.839636819
validacionmodelo_Inversiones en valores_True,Linear,280216243,273534474.9849143,6681768.015085697,290849436,275113812.1218469,15735623.878153086,293608122,276406618.6649718,17201503.33502817
validacionmodelo_Inversiones permanentes_True,Linear,1503804,1500772.579038045,3031.4209619550966,1503804,1497898.9841847871,5905.015815212857,1503804,1495050.427676058,8753.572323941858
validacionmodelo_Operaciones discontinuadas_True,DT,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Otras cuentas por cobrar_True,MLP,3358004,3063020.587544831,294983.412455169,3766737,3086591.690402458,680145.309597542,3756536,3028893.2867392306,727642.7132607694
validacionmodelo_Otras cuentas por pagar_True,Linear,14075139,13375772.237172818,699366.7628271822,14987231,13376010.566179898,1611220.4338201024,13527903,13351252.327168506,176650.67283149436
validacionmodelo_Otros activos_True,XGBoost,1792279,948589.5868864058,843689.4131135942,1718950,908818.4320249556,810131.5679750444,1567336,1125932.274857521,441403.7251424789
validacionmodelo_Otros ingresos (egresos) de la operación_True,MLP,-1540,209190.28554951228,-210730.28554951228,-5247,250787.2208258733,-256034.2208258733,4680,295135.5178207865,-290455.5178207865
"validacionmodelo_Participación en el resultado de subsidiarias no consolidadas, asociadas y negocios conjuntos_True",Linear,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
"validacionmodelo_Propiedades, mobiliario y equipo_True",LinearPSO,21498801,20705492.19116155,793308.8088384494,21397787,20535310.01158751,862476.9884124883,22029172,20060626.711347792,1968545.288652208
validacionmodelo_Pérdida por valorización_True,DT,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Resultado neto_True,MLPSO,4420136,25625174.89956552,-21205038.89956552,7102388,20686168.07609977,-13583780.076099768,9416839,16896453.117836867,-7479614.117836866
validacionmodelo_Resultado por intermediación_True,DT,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Resultado por posición monetaria neto (margen financiero)_True,DT,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Total ingresos_True,MLPSO,10927979,85077255.54942055,-74149276.54942055,20585147,70406151.44783916,-49821004.44783916,31405794,61722488.75060949,-30316694.750609487
validacionmodelo_True,Linear,280216243,273534474.9849143,6681768.015085697,290849436,275113812.1218469,15735623.878153086,293608122,276406618.6649718,17201503.33502817
validacionmodelo_Utilidad por valorización_True,DT,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
